allin	allin 
ariyá	ari @@yá 
arí	arí 
asikun	asi @@ku @@n 
asikullan	asi @@ku @@lla @@n 
aswan	aswan 
atuqsi	atuq @@si 
atuq	atuq 
atuqqa	atuq @@qa 
atuqmasinkuna	atuq @@masi @@n @@kuna 
atuqchakunata	atuq @@cha @@kuna @@ta 
atuqllataqa	atuq @@lla @@ta @@qa 
atuqkunatam	atuq @@kuna @@ta @@m 
atuqchaqa	atuq @@cha @@qa 
aypan	aypa @@n 
bellido	bellido 
bellidomantaqa	bellido @@manta @@qa 
bellidomantam	bellido @@manta @@m 
chaymi	chay @@mi 
chay	chay 
chaypim	chay @@pi @@m 
chayqa	chay @@qa 
chaytaqa	chay @@ta @@qa 
chayaptinqa	chaya @@pti @@n @@qa 
chayna	chayna 
chaynam	chayna @@m 
chika	chika 
chiqap	chiqap 
chirita	chiri @@ta 
chulla	chulla 
churana	chura @@na 
dedicasqaymanta	dedica @@sqa @@y @@manta 
dedicani	dedica @@ni 
dedicasaq	dedica @@saq 
dibuhunkunantin	dibuhu @@n @@kuna @@ntin 
dilubyu	dilubyu 
facepirqanpi	facepirqa @@n @@pi 
facepirqachan	facepirqa @@cha @@n 
Franciapim	Francia @@pi @@m 
ha	ha 
haykaptaq	hayka @@p @@taq 
hudirquni	hudi @@rqu @@ni 
hudirquwanchik	hudi @@rqu @@wa @@nchik 
hudiykuwachkanchikmi	hudi @@yku @@wa @@chka @@nchik @@mi 
hudirquwanñam	hudi @@rqu @@wa @@n @@ña @@m 
huk	huk 
ichaqa	icha @@qa 
imanasqam	ima @@na @@sqa @@m 
imataña	ima @@ta @@ña 
imaman	ima @@man 
intindichikuq	intindi @@chi @@ku @@q 
iskay	iskay 
kasqa	ka @@sqa 
kasqataqsi	ka @@sqa @@taq @@si 
karqa	ka @@rqa 
kachkaspanpas	ka @@chka @@spa @@n @@pas 
kaptinmi	ka @@pti @@n @@mi 
kanchu	ka @@n @@chu 
kaspaqa	ka @@spa @@qa 
karqan	ka @@rqa @@n 
karqayku	ka @@rqa @@yku 
kallpakachan	kallpa @@ka @@cha @@n 
kamipaykunku	kami @@pa @@yku @@nku 
kamikuq	kami @@ku @@q 
karahu	karahu 
karay	karay 
kay	kay 
kaytapas	kay @@ta @@pas 
kayna	kayna 
kaynata	kayna @@ta 
kunrisistachakunamantachu	kunrisista @@cha @@kuna @@manta @@chu 
kunrisistu	kunrisistu 
kunrisistumantaqa	kunrisistu @@manta @@qa 
kunrisistumanta	kunrisistu @@manta 
kunrisumanqa	kunrisu @@man @@qa 
kuraq	kuraq 
kusikuywan	kusi @@ku @@y @@wan 
kusisqallaña	kusi @@sqa @@lla @@ña 
kutichipuwaypuni	kuti @@chi @@pu @@wa @@y @@puni 
kuwintu	kuwintu 
kuwintucha	kuwintu @@cha 
libruchata	libru @@cha @@ta 
librutaqa	libru @@ta @@qa 
libruchaqa	libru @@cha @@qa 
librucha	libru @@cha 
libruykiqa	libru @@yki @@qa 
libruchan	libru @@cha @@n 
librupi	libru @@pi 
likanaykamam	lika @@na @@y @@kama @@m 
liwru	liwru 
liwrukunamanpas	liwru @@kuna @@man @@pas 
liwruta	liwru @@ta 
llamka-llamkaq	llamka-llamka @@q 
llapallankumantas	llapa @@lla @@nku @@manta @@s 
llapa	llapa 
llapantin	llapa @@ntin 
llaqtaypi	llaqta @@y @@pi 
llaqtay	llaqta @@y 
llaqtayuq	llaqta @@yuq 
llullakunki	llulla @@ku @@nki 
llulla	llulla 
lluqllahinaña	lluqlla @@hina @@ña 
lluqsiq	lluqsi @@q 
luqlukuna	luqlu @@kuna 
luqlukunata	luqlu @@kuna @@ta 
luqluchu	luqlu @@chu 
luqlu	luqlu 
manam	mana @@m 
manaraqmi	mana @@raq @@mi 
mana	mana 
manaraq	mana @@raq 
maypitaq	may @@pi @@taq 
may	may 
muchuchkan	muchu @@chka @@n 
munasqanchikmanta	muna @@sqa @@nchik @@manta 
munaniraqchu	muna @@ni @@raq @@chu 
munachkaptinchikpas	muna @@chka @@pti @@nchik @@pas 
munasqay	muna @@sqa @@y 
